paper,doi,canonical,paper_term,relevance
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,contact metallization method,electroplated copper contacts,1.0
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,contact electrode material,copper (Cu),0.97
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,cell architecture,single-junction perovskite solar cell (PSC),0.95
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,absorber material,FA0.75Cs0.25Pb(I0.8Br0.2)3 perovskite,0.95
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,perovskite composition,FA0.75Cs0.25Pb(I0.8Br0.2)3,0.94
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,device efficiency,≈11% photoconversion efficiency,0.93
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,masking layer material,ALD Al2O3,0.92
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,transparent conductive oxide,ITO (indium tin oxide),0.9
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,deposition method,atomic layer deposition (ALD),0.88
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,plating process type,wet-chemical plating,0.88
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,tandem cell architecture,perovskite silicon heterojunction tandem solar cell,0.85
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,process compatibility,PSC survival of wet-chemical plating process,0.85
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,contact grid design,Cu grid on both sides,0.83
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,alternative masking material,self-passivated aluminum,0.82
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,interface morphology,compact interface between ITO and plated Cu,0.8
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,bottom cell technology,silicon heterojunction (SHJ),0.8
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,contact finger width,30 μm wide Cu contacts,0.78
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,contact resistivity,low-resistive Cu grid,0.78
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,halide composition,I0.8Br0.2 mixed halide,0.76
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,cation composition,FA0.75Cs0.25 mixed cation,0.76
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,characterization technique,scanning electron microscopy (SEM),0.75
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,passivation method,self-passivated aluminum mask,0.74
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,elemental analysis method,energy-dispersive X-ray (EDX) analysis,0.72
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,substrate scalability,independent of substrate size,0.7
Electroplated Copper Metal Contacts on Perovskite Solar Cells,10.1002/solr.202100381,cell area,small-area,0.65
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,cell architecture,rear emitter silicon heterojunction (SHJ) solar cell,1.0
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,cell technology,silicon heterojunction (SHJ),0.98
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,device efficiency,over 22%,0.97
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,reported cell efficiency,22.06%,0.95
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,p-type layer material,p-type hydrogenated amorphous silicon (a-Si:H(p)),0.95
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,n-type layer material,n-type hydrogenated amorphous silicon (a-Si:H(n)),0.93
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,alternative metallization,direct copper metallization,0.92
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,front transparent conductive oxide,front TCO layer,0.9
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,rear transparent conductive oxide,rear TCO layer,0.9
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,parasitic absorption,parasitic absorption issue,0.88
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,metallization method,screen-printed silver metallization,0.88
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,passivation method,field-effect passivation,0.87
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,device optimization,optimization of p-type a-Si:H layer,0.87
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,contact resistance,TCO/a-Si:H(p) contact resistance,0.86
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,reference architecture,front emitter SHJ solar cell,0.85
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,light absorption loss,light absorption loss,0.85
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,metallization cost,low cost direct copper metallization,0.85
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,layer optimization tradeoff,tradeoff between light absorption loss and field-effect passivation,0.83
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,absorber material,silicon (Si) substrate,0.82
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,cell area,225.47 cm²,0.82
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,optical properties,optical properties of front TCO,0.8
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,fabrication process,industry compatible process,0.8
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,heterojunction interface,TCO/a-Si:H(p) interface,0.8
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,lateral carrier transport,lateral transport of majority carriers,0.78
Study and development of rear‐emitter Si heterojunction solar cells and application of direct copper metallization,10.1002/pip.3000,majority carrier transport,majority carriers at the front side,0.75
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,cell architecture,silicon heterojunction (SHJ) solar cell,1.0
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,metallization method,electroplating,1.0
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,contact metal,copper,1.0
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,device efficiency,20.2%,0.97
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,patterning approach,NOBLE (native oxide barrier layer for selective electroplating),0.97
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,metal layer stack,multifunctional patterned metal layer stack,0.92
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,barrier layer material,aluminum native oxide,0.92
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,seed layer material,aluminum,0.9
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,deposition method,PVD (physical vapor deposition),0.88
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,oxide inhibition,native oxide inhibits plating,0.88
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,transparent conductive oxide,TCO,0.87
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,patterning technique,printed etchant,0.85
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,plating selectivity mechanism,native oxide barrier,0.85
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,layer stack composition,copper and aluminum PVD layer stack,0.85
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,contact resistivity,low contact resistivity,0.83
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,metal conductivity,high metal conductivity of plated copper,0.82
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,processing temperature,low temperature processing,0.8
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,plating current distribution,homogeneous plating height distribution,0.78
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,silver content,almost Ag-free,0.76
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,plating uniformity,homogeneous plating height distribution over the cell,0.75
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,material cost,low material costs,0.74
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,masking process,no organic masking,0.72
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,current distribution support,full area aluminum layer,0.72
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,absorber material,silicon,0.7
Native Oxide Barrier Layer for Selective Electroplated Metallization of Silicon Heterojunction Solar Cells,10.1002/solr.201900006,etchant type,printed etchant,0.7
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,metallization method,copper electroplating,1.0
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,cell architecture,silicon heterojunction (SHJ) solar cell,1.0
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,transparent conductive oxide,indium tin oxide (ITO),0.97
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,surface pretreatment,zinc-assisted Fe2+ system ITO pretreatment,0.97
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,contact resistivity,contact resistivity reduced from 1.4 to 0.2 mΩ cm²,0.96
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,device efficiency,power conversion efficiency of 22.6%,0.95
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,seed layer,In/Sn/SnO mixed-metal transition layer,0.94
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,adhesion strength,peel force of 14.2 N mm⁻¹,0.93
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,transition layer composition,In/Sn/SnO mixed-metal transition layer,0.92
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,metallization material,copper,0.91
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,pretreatment reagent,zinc-assisted Fe2+ system,0.9
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,conventional metallization,low-temperature sintered silver pastes,0.88
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,surface modification,ITO film modification,0.88
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,adhesion improvement,75.3% higher peel force than untreated sample,0.87
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,electroplating substrate,ITO film,0.86
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,electrode grid,electroplated grids,0.85
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,mechanical adhesion,physical adhesion between electroplated grids and ITO films,0.84
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,contact interface,electroplated metals and ITO films interface,0.83
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,additive species,zinc (Zn),0.82
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,reducing agent,Fe2+,0.81
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,contact layer material,SnO,0.8
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,initial contact resistivity,1.4 mΩ cm²,0.78
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,treated contact resistivity,0.2 mΩ cm²,0.78
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,untreated reference,untreated sample,0.72
Enhancing Electrical and Physical Contacts of Copper‐Electroplated Silicon Heterojunction Solar Cells through Chemical Pretreated Seed Layers,10.1002/solr.202300938,industrial applicability,industry applications,0.7
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,electrode material,copper (Cu),1.0
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,cell architecture,silicon heterojunction solar cells,1.0
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,metallization method,screen printing,0.98
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,paste formulation,nanoparticle copper paste,0.97
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,transparent conductive oxide,Indium-Tin Oxide (ITO),0.95
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,contact resistivity,specific contact resistivity of 0.4 mΩ·cm²,0.95
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,line resistivity,27 μΩ·cm,0.93
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,curing temperature,200 °C to 400 °C,0.92
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,curing atmosphere,vacuum conditions (<300 ppm O₂),0.9
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,nanoparticle sintering,Cu nanoparticle sintering,0.88
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,contact formation,Cu-ITO contact formation,0.88
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,finger width,53–60 μm,0.87
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,finger height,above 20 μm,0.85
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,paste composition,Cu paste composition,0.85
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,filler content,copper percentage by weight,0.84
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,paste rheology,rheology,0.83
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,curing duration,30 min,0.82
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,printability,printability,0.82
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,optimal curing conditions,optimal curing conditions at 400 °C for 30 min,0.82
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,microstructural characterization,scanning electron microscopy (SEM),0.8
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,printing parameters,screen printing parameters,0.8
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,line resistance,line resistance,0.79
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,absorber material,silicon,0.78
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,electrode geometry,printed finger dimensions,0.76
Development of nanoparticle copper screen printing pastes for silicon heterojunction solar cells,10.1016/j.solener.2019.07.055,low temperature processing,curing at temperatures between 200 °C and 400 °C,0.75
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,metallization technology,pattern transfer printing (PTP),1.0
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,front metallization,front metallization,0.97
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,reference metallization,screen printing,0.95
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,finger width,20 μm finger widths,0.95
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,finger aspect ratio,aspect ratio above 0.6,0.95
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,cell efficiency,0.12%abs efficiency gain,0.93
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,silver consumption,54% reduction in silver required,0.92
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,absorber material,crystalline silicon,0.9
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,front contact paste,thick film silver paste,0.9
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,process parameter,laser power,0.9
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,contact material,silver (Ag),0.9
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,trench geometry,four different trench geometries,0.88
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,short circuit current density,Jsc gain,0.88
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,solar cell type,crystalline silicon solar cells,0.88
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,finger geometry,finger geometry,0.85
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,fill factor,FF loss,0.85
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,laser-material interaction,laser transfer process,0.85
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,series resistance,higher series resistance,0.83
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,open circuit voltage,Voc gain,0.82
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,print quality,print quality,0.8
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,finger line geometry optimization,smaller finger lines,0.8
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,trench circumference ratio,ratio between circumference and horizontal interface of the trench,0.78
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,electrical characterization,electrical parameters of printed solar cells,0.78
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,contamination,debris,0.75
Finger Metallization Using Pattern Transfer Printing Technology for c-Si Solar Cell,10.1109/JPHOTOV.2020.3007001,current collection,collect the generated current from the active area,0.75
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,electrode material,copper,1.0
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,sintering method,flash lamp sintering (photonic sintering),1.0
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,film conductivity,3.11–4.3 × 10⁻⁷ Ω m,1.0
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,oxidation resistance,prevention of copper oxidation,0.95
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,ink composition,"100N (100% nano), 50N50M, 20N80M inks",0.93
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,particle morphology,mixed nano copper and nano/micro copper particles,0.92
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,nano-micro ratio,"nano-to-micro particle ratio (100N, 50N50M, 20N80M)",0.91
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,deposition technique,thick film screen printing,0.9
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,sintering duration,under 1 s (flash lamp) vs. 90 min at 250 °C,0.9
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,energy window,multiple energy windows for successful sintering,0.88
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,particle size,nano and micro copper particles,0.88
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,oxidation mechanism,oxidation to non-conductive state during sintering,0.88
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,line resistance change,"14% increase (100N), ~10% (50N50M), ~2% (20N80M)",0.87
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,replaced material,silver,0.85
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,substrate material,FTO coated glass,0.85
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,film stability,line resistance increase under mechanical load,0.85
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,sintering atmosphere,reducing gas conditions,0.82
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,sintering temperature,250 °C,0.8
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,conductive film application,printed electronic circuitry,0.8
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,productivity improvement,significant improvement in productivity,0.78
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,sintering product state,fully or partially sintered products,0.78
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,energy demand,reduced energy demand,0.76
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,transparent conductive oxide,FTO (fluorine-doped tin oxide) coating,0.75
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,mechanical load,100 N material load,0.72
Photonic sintering of copper for rapid processing of thick film conducting circuits on FTO coated glass,10.1038/s41598-023-32044-2,application domain,"healthcare, solar energy, IoT devices, automotive",0.7
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,conductor material,copper,1.0
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,ink formulation,copper nanoparticle ink,1.0
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,sintering method,laser sintering,1.0
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,sintering method,intense pulsed light (IPL) sintering,1.0
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,printing technique,inkjet printing,0.95
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,electrical conductivity,more than 20% of bulk copper conductivity,0.95
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,post-processing method,sintering,0.95
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,functional material,conductive copper nanoparticle ink,0.92
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,sintering energy source,laser,0.9
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,sintering energy source,intense pulsed light (IPL),0.9
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,conductive ink type,copper-based ink,0.9
Comparison of laser and intense pulsed light sintering (IPL) for inkjet-printed copper nanoparticle layers,10.1038/srep08832,photonic sintering,intense pulsed light sintering,0.88
